book,projection_id,sport,league,player_id,player_name,team,opponent,position,game_id,stat_type,stat,map_from,map_to,combo,combo_players,voidable,board_time,start_time,open_line,open_seen_at,current_line,current_odds_type,last_seen_at,status,odds_over,odds_under
prizepicks,15198018,lol,LoL,296145,Fudge + Contractz + Zinie,SR,FLY,TOP/JNG/MID,SRFLY46290.7916666667,MAPS 1-3 Kills (Combo),kills,1,3,1,"[""Fudge"", ""Contractz"", ""Zinie""]",1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,22.5,2026-09-25T05:34:18+00:00,22.0,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198019,lol,LoL,296146,Zinie + Bvoy,SR,FLY,MID/BOT,SRFLY46290.7916666667,MAPS 1-3 Kills (Combo),kills,1,3,1,"[""Zinie"", ""Bvoy""]",1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,18.5,2026-09-25T05:34:18+00:00,18.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198571,lol,LoL,263878,GaKGoS,FLY,SR,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,10.5,2026-09-25T05:34:18+00:00,10.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197798,lol,LoL,263878,GaKGoS,FLY,SR,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,8.5,2026-09-25T05:34:18+00:00,8.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198572,lol,LoL,263878,GaKGoS,FLY,SR,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,6.5,2026-09-25T05:34:18+00:00,6.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198493,lol,LoL,285806,Gryffinn,FLY,SR,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,14.5,2026-09-25T05:34:18+00:00,14.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197799,lol,LoL,285806,Gryffinn,FLY,SR,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,12.5,2026-09-25T05:34:18+00:00,12.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198494,lol,LoL,285806,Gryffinn,FLY,SR,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,10.5,2026-09-25T05:34:18+00:00,10.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198799,lol,LoL,199715,Quad,FLY,SR,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,14.5,2026-09-25T05:34:18+00:00,14.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197800,lol,LoL,199715,Quad,FLY,SR,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,11.5,2026-09-25T05:34:18+00:00,12.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198800,lol,LoL,199715,Quad,FLY,SR,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,8.5,2026-09-25T05:34:18+00:00,8.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198842,lol,LoL,95512,Massu,FLY,SR,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,18.5,2026-09-25T05:34:18+00:00,18.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197801,lol,LoL,95512,Massu,FLY,SR,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,15.5,2026-09-25T05:34:18+00:00,15.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198843,lol,LoL,95512,Massu,FLY,SR,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,12.5,2026-09-25T05:34:18+00:00,12.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197973,lol,LoL,285821,Cryogen,FLY,SR,SUP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,2.5,2026-09-25T05:34:18+00:00,2.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
